Date,Open,High,Low,Close
"Nov 11, 2024","80,444.13","81,801.98","80,444.13","81,281.64"
"Nov 10, 2024","76,775.55","81,474.42","76,565.43","80,474.19"
"Nov 9, 2024","76,556.19","76,932.77","75,773.79","76,778.87"
"Nov 8, 2024","75,902.84","77,252.75","75,648.74","76,545.48"
"Nov 7, 2024","75,637.09","76,943.12","74,480.42","75,904.86"
"Nov 6, 2024","69,358.50","76,460.16","69,322.03","75,639.08"
"Nov 5, 2024","67,811.17","70,522.79","67,458.87","69,359.56"
"Nov 4, 2024","68,742.13","69,433.18","66,803.65","67,811.51"
"Nov 3, 2024","69,296.38","69,361.66","67,482.52","68,741.12"
"Nov 2, 2024","69,486.02","69,867.35","69,033.72","69,289.27"
"Nov 1, 2024","70,216.90","71,559.02","68,779.70","69,482.47"
"Oct 31, 2024","72,335.05","72,662.31","69,590.50","70,215.19"
"Oct 30, 2024","72,715.37","72,905.30","71,411.73","72,339.54"
"Oct 29, 2024","69,910.05","73,577.21","69,729.91","72,720.49"
"Oct 28, 2024","67,922.67","70,212.27","67,535.13","69,907.76"
"Oct 27, 2024","67,023.48","68,221.31","66,847.23","67,929.30"
"Oct 26, 2024","66,628.73","67,317.92","66,360.59","67,014.70"
"Oct 25, 2024","68,165.30","68,722.16","65,521.79","66,642.41"
"Oct 24, 2024","66,653.70","68,798.96","66,454.10","68,161.05"
"Oct 23, 2024","67,362.38","67,402.74","65,188.04","66,432.20"
"Oct 22, 2024","67,360.70","67,801.58","66,581.37","67,361.41"
"Oct 21, 2024","69,002.00","69,462.73","66,829.85","67,367.85"
"Oct 20, 2024","68,364.18","69,359.01","68,105.72","69,001.70"
"Oct 19, 2024","68,418.98","68,668.01","68,024.64","68,362.73"
"Oct 18, 2024","67,419.11","68,969.75","67,177.82","68,418.79"
"Oct 17, 2024","67,617.08","67,912.21","66,647.39","67,399.84"
"Oct 16, 2024","67,042.46","68,375.29","66,758.73","67,612.72"
"Oct 15, 2024","66,050.37","67,881.68","64,809.20","67,041.11"
"Oct 14, 2024","62,848.40","66,482.49","62,442.15","66,046.13"
"Oct 13, 2024","63,192.95","63,272.65","62,035.64","62,851.38"
"Oct 12, 2024","62,444.62","63,448.79","62,443.27","63,193.02"
"Oct 11, 2024","60,275.46","63,400.87","60,046.13","62,445.09"
"Oct 10, 2024","60,581.93","61,236.72","58,895.21","60,274.50"
"Oct 9, 2024","62,131.73","62,508.84","60,314.61","60,582.10"
"Oct 8, 2024","62,221.64","63,174.30","61,843.56","62,131.97"
"Oct 7, 2024","62,819.11","64,443.71","62,152.55","62,236.66"
"Oct 6, 2024","62,084.99","62,959.57","61,833.15","62,818.95"
"Oct 5, 2024","62,067.61","62,371.02","61,689.58","62,089.95"
"Oct 4, 2024","60,754.63","62,465.99","60,459.94","62,067.48"
"Oct 3, 2024","60,632.48","61,469.04","59,878.80","60,759.40"
"Oct 2, 2024","60,836.32","62,357.69","59,996.95","60,632.79"
"Oct 1, 2024","63,335.61","64,110.98","60,189.28","60,837.01"
"Sep 30, 2024","65,634.66","65,635.05","62,873.62","63,329.50"
"Sep 29, 2024","65,888.90","66,069.34","65,450.02","65,635.30"
"Sep 28, 2024","65,792.18","66,255.53","65,458.04","65,887.65"
"Sep 27, 2024","65,180.66","66,480.70","64,852.99","65,790.66"
"Sep 26, 2024","63,138.55","65,790.80","62,669.27","65,181.02"
"Sep 25, 2024","64,302.59","64,804.50","62,945.38","63,143.14"
"Sep 24, 2024","63,326.84","64,695.21","62,737.42","64,301.97"
"Sep 23, 2024","63,643.10","64,733.56","62,628.08","63,329.80"
"Sep 22, 2024","63,396.80","63,993.42","62,440.73","63,648.71"
"Sep 21, 2024","63,184.34","63,543.36","62,783.11","63,394.84"
"Sep 20, 2024","62,941.43","64,119.53","62,364.61","63,192.98"
"Sep 19, 2024","61,651.16","63,872.44","61,609.87","62,940.46"
"Sep 18, 2024","60,309.00","61,664.07","59,218.25","61,649.68"
"Sep 17, 2024","58,192.51","61,316.09","57,628.07","60,308.54"
"Sep 16, 2024","59,185.23","59,205.51","57,501.34","58,192.51"
"Sep 15, 2024","60,000.73","60,381.92","58,696.31","59,182.84"
"Sep 14, 2024","60,569.12","60,656.72","59,517.88","60,005.12"
"Sep 13, 2024","58,130.32","60,648.02","57,650.11","60,571.30"
"Sep 12, 2024","57,343.17","58,534.36","57,330.10","58,127.01"
"Sep 11, 2024","57,650.29","57,991.32","55,567.34","57,343.17"
"Sep 10, 2024","57,020.10","58,029.98","56,419.41","57,648.71"
"Sep 9, 2024","54,851.89","58,041.13","54,598.43","57,019.54"
"Sep 8, 2024","54,147.93","55,300.86","53,653.76","54,841.57"
"Sep 7, 2024","53,949.09","54,838.14","53,740.07","54,139.69"
